model,quantity
005043,3
005044,1
005050,1
005054,2
005088,0
005105,3
005131,0
005133,1
005134,0
005157,1
005188,1
005222,3
005229,2
005278,0
005279,0
005281,0
005287,0
005301,0
005303,0
005340,0
005455,8
005506,0
005568,7
005602,4
005604,4
005605,13
005606,2
005609,0
005644,2
005647,12
005650,4
005690,0
005817,2
005867,0
005871,7
005872,0
005873,2
005875,5
005876,5
005887,6
005889,2
005900,21
005902,0
006002,2
006003,8
006004,0
006009,0
006016,1
006022,2
006038,0
006039,0
006043,1
006044,0
006084,3
006086,1
006095,7
006117,0
006124,0
006125,3
006130,3
006133,0
006147,0
006148,0
006149,0
006150,0
006156,0
006161,0
006187,1
006197,0
006200,2
006201,0
006202,0
006205,1
006209,9
006211,0
006232,1
006238,0
006241,2
006247,0
006252,1
006257,2
006259,0
006260,0
006261,0
006262,0
006268,0
006278,0
006282,1
006294,0
006299,0
006312,0
006318,5
006319,1
006320,3
006321,10
006322,0
006334,0
006336,0
006337,0
006342,0
006347,2
006349,0
006350,0
006351,0
006352,1
006353,0
006358,0
006359,0
006360,0
006361,0
006362,0
006363,0
006364,0
006365,0
006366,0
006367,0
006369,0
006370,0
006371,0
006372,2
006373,4
006374,0
006375,0
006376,0
006377,0
006379,0
006381,0
006382,0
006383,0
006384,0
006385,0
006387,0
006388,0
006389,0
006390,0
006391,1
006392,22
006393,5
006394,20
006395,5
006396,4
006397,9
006398,4
006399,0
006400,0
006401,0
006402,19
006403,2
006404,4
006405,2
006406,5
006407,1
006408,1
006409,5
006410,3
006411,18
006412,17
006413,10
006414,10
006415,20
006416,13
006417,0
006418,2
106612,1
110272,0
117715,0
121510,1
131736,1
133724,0
133805,0
133807,1
133808,0
134600,2
135153,3
135203,0
135791,2
135792,3
136091,1
136205,0
136454,3
136814,0
136815,0
136922,3
137135,0
137201,0
137240,0
137275,0
137413,0
137415,0
137449,0
137715,0
137813,0
138122,0
138464,4
138535,0
138575,4
138582,3
138584,0
138617,0
138618,0
138644,0
138735,0
138771,1
138780,0
138886,5
139006,15
139089,0
139107,0
139158,1
139325,0
139330,0
139410,0
139412,0
139495,0
139519,0
139597,0
139606,3
139615,0
139634,0
139644,1
139681,0
139952,3
139975,2
