model,name,price,quantity,status
005050,"Venus No38 – Γάστρα Οβάλ Από Αλουμίνιο 38x30cm",35,1,1
005054,"Γάστρα Οβάλ από Αλουμίνιο Venus Νο.42 Μαύρη",53,2,1
005105,"Ορθογώνια Ψηστιέρα Μικρή Roller 20105 800w Inox με Σχάρα Χρωμίου",44.5,3,1
005133,"Roller 00682 – Ρυθμιζόμενη Βάση Κουζίνας από Μέταλλο Με Ρόδες Λευκό",25,1,1
005134,"Ρυθμιζόμενη Βάση Κουζίνας Από Μέταλλο Με Ρόδες Roller 00683 Inox",35,0,0
005266,"Κατσαρόλα Φριτέζα από Αλουμίνιο Venus 24cm",45,0,0
005279,"Μπρίκι Από Ανοξείδωτο Ατσάλι Ασημί Venus No3",12,0,0
005281,"Μπρίκι Από Ανοξείδωτο Ατσάλι Ασημί Venus No5",16,0,0
005416,"Ρυθμιζόμενη Βάση Πλυντηρίου-Στεγνωτηρίου Από Μέταλλο Με Ρόδες Roller 00692 Λευκή",35,0,0
005455,"Αντικραδασμικά Πλαστικά Πέλματα Πλυντηρίου/Στεγνωτηρίου Roller Kappatos 00671 Λευκά",8,8,1
005606,"Sony Rm-l1370 – Τηλεχειριστήριο Για Τηλεοράσεις Sony",15,2,1
006058,"Bella Cucina BC8011 – Κάθετη Γεννήτρια Ατμού",99,0,0
006089,"Venus Τηγάνι Cosmos 26cm",18,0,0
006104,"Venus Τηγάνι Cosmos 28cm",20,0,0
006116,"Κρεπιέρα ηλεκτρική αντικολλητική Venus 26εκ Euro - Chef 73526",19,0,0
006130,"Καθαριστικό - απολυμαντικό σπρέι κλιματιστικών 400ml VMD 16",10,3,1
006180,"Ηλεκτρικός Στρόγγυλος Φούρνος Zilan 40L 1400W ZLN3697",69,0,0
006187,"Γκριλιέρα Teppanyaki Grill Bella Cucina 2200W με πλαίσιο από μπαμπού",64.9,1,1
006197,"Επιτραπέζια BBQ Ηλεκτρική Ψησταριά 2500W Roller 20109 Ιnox",49,0,0
006201,"Bella Cucina BC6011 – Σεσουάρ - Πιστολάκι Μαλλιών 1200W",19,0,0
006238,"Θερμός Ταξιδίου Estia Save Aegean Λευκό Ματ",16.9,0,0
006249,"A/C Mitsubishi MSZ/MUZ-HR60VF 22000Btu",1239,0,0
006251,"Roller 00723 – Ρυθμιζόμενη Βάση Πλυντηρίου Από Μέταλλο Με Ρόδες Inox",35,0,0
006252,"Θερμός Ταξιδίου Estia Save Aegean Κίτρινο",16.9,1,1
006261,"Θερμός Ταξιδίου Estia Save Aegean Ροζ",16.9,0,0
006262,"Θερμός Ταξιδίου Estia Save Aegean Γκρι",16.9,0,0
